VoucherNumber	Snod_abs_mean	Gill_abs_mean	Lacto_abs_mean	Comm_abs_mean	Snod_rel_mean	Gill_rel_mean	Lacto_rel_mean	Comm_rel_mean	copies_perbee_mean	copies_perbee_sem	ColonySize_U_mean	BodySize_mean	Bee_Genus	n_samples
Aust223	0	0	404.626886299719	0	0	0	0.0221279871170424	0	17984.22	NA	2000	4.494	Austroplebeia	2
Duck331	184035.886425695	1067836.13170258	384121.414109444	541407.898438381	0.0692710430930326	0.401933145388643	0.144583165525574	0.203785743052759	2656750.61625	NA	10000	8.595	Duckeola	1
Eome456	507.924263060061	0	1054781.09700804	6994.12989365971	0.000267308378263434	0	0.5061628691462	0.014446227929374	1952655.5	1419921.71737778	800	11.4	Eomelipona	3
Eome461	0	0	48782.8479646728	320.939789241269	0	0	0.0610196708149338	0.000401445202729827	799461.015	NA	2500	8.293	Eomelipona	1
Frme457	NA	NA	NA	NA	0.0108520900321543	0.378215434083601	0.470659163987138	0	NA	NA	1600	5.098	Frieseomelitta	1
Geot464	0	0	43645.0694529286	201696.827946903	0	0	0.0691780985898633	0.489500073533687	425048.69625	392818.337187917	3000	5.84	Geotrigona	2
Hete311	4.69246453182002	0	653.425686055938	1418.2974047426	0.0016214025131739	0	0.225780299959465	0.49006890960681	2894.0775	NA	5000	5.153	Heterotrigona	1
Lest119	34170.808003168	40477.7991514064	77734.8003830214	0	0.109709713340143	0.148458708102973	0.303717009341585	0	200356.700625	278432.366388322	7000	6.041	Lestrimelitta	2
Lest449	5076.17208282582	9185.06056029233	372.03215590743	0	0.249289484368656	0.451075923670321	0.0182704019488429	0	20362.56	NA	7000	5.804	Lestrimelitta	1
Miml121	0	0	12872319.5597954	0	0	0	0.688254223652454	0	18702855.88875	NA	2000	12.367	Michmelia	1
Mlkr120	0	0	443747.53625649	48.5508589049338	0	0	0.823921626412298	0.000200561572402728	539588.390625	420748.062443642	1000	8.673	Melikerria	2
Mlkr294	0	0	4221778.8490009	0	0	0	0.529246794871795	0	7976956.85625	NA	2000	10.952	Melikerria	1
Mlpl406	0	0	485599.005112545	0	0	0	0.231692677070828	0	2095875.49875	NA	1300	10.109	Meliponula	1
Nann296	0	0	3509543.49452485	54.4377195121951	0	0	0.202652032520325	0.00040650406504065	8866125.879375	12349208.5236717	3000	5.171	Nannotrigona	2
Nann450	23.1653459056071	0	4656.23452702703	0	0.000403388463089956	0	0.0810810810810811	0	57426.8925	NA	3000	4.46	Nannotrigona	1
Oxyt114	402.033968438738	394.00411669443	263391.030632386	170616.023185615	0.00674547463385863	0.0087885550247255	0.351657337336589	0.193551375137452	639493.531875	659211.295486418	5442	4.957	Oxytrigona	4
Oxyt448	4467.28033179103	2148.12159375	2651312.5967716	2128611.03040239	0.000564095596703027	0.000162337662337662	0.43675381282879	0.334393643315077	6286702.04325	5030356.14163403	1900	4.938	Oxytrigona	5
Sund389	767.703732890917	0	39152.8903774367	0	0.0037328909166321	0	0.190377436748237	0	205659.3	NA	3000	3.565	Sundatrigona	1
Tgca150	353.12942511425	0	7608.33397746157	0	0.00457000415454923	0	0.0984628167843789	0	77271.13875	NA	600	3.186	Trigonisca	1
Tgna200	985879.37670012	135779.794395825	24351.8109514251	283366.527434765	0.536330790847049	0.0738659173022882	0.0132476916900843	0.154154957848254	1838192.76	NA	2e+05	7.145	Trigona	1
Tgna447	553959.327266202	1077540.46716448	118661.845244075	50.5812388258337	0.331162967047	0.590763016455752	0.0563622568605306	0.000100441944556047	1837594.831875	2970041.65066937	180000	6.014	Trigona	4
Tgna458	36586.5378276553	33805.4665400802	624338.170663232	126325.776574186	0.0790915163660655	0.0730794923179693	0.304301540816135	0.071130559234792	2069879.1375	2491121.96257567	10000	5.238	Trigona	3
Tgna459	986468.647927901	31521.3591659197	293715.789114423	21598.7313958502	0.437069749408667	0.0334695909760343	0.243718480831883	0.00913149350649351	1640360.3475	1025221.00697935	40000	6.685	Trigona	2
Trgs136	0	0	6567.8188335726	0	0	0	0.0116899097621001	0	536745.825	35483.6754045789	3000	4.268	Tetragonisca	2
Trgs451	137982.552591868	175705.607674699	2347.21231626506	0	0.330522088353414	0.420883534136546	0.00562248995983936	0	417468.47625	NA	8000	3.737	Tetragonisca	1
Trgu226	171277.641489727	0	91258.6546480174	0	0.120238484425021	0	0.321841424328236	0	560831.74125	623066.116884383	5000	3.8805	Tetragonula	4
Trgu228	0	0	574611.37981234	0	0	0	0.621461316211878	0	908252.625	343492.012397944	11000	4.212	Tetragonula	2
Trgu229	24547.6036762616	5761.74323597194	47996.1510241164	0	0.236836497243687	0.227403772733098	0.133185648239549	0	224574.03375	274431.956619584	7000	4.026	Tetragonula	4
Ttgo452	162479.38530006	315098.544051568	144473.754211399	431277.735123643	0.152392440691596	0.295536791314837	0.135504624045034	0.404503417772417	1066190.58375	NA	29000	6.152	Tetragona	1
